,Titre,Auteur,Summary
0,Chanson douce ,Leïla Slimani,"""Louise ? Quelle chance vous avez d’être tombés sur elle. Elle a été comme une seconde mère pour mes garçons. Ça a été un vrai crève-cœur quand nous avons dû nous en séparer. Pour tout vous dire, à l’époque, j’ai même songé à faire un troisième enfant pour pouvoir la garder."" Lorsque Myriam décide malgré les réticences de son mari de reprendre son activité au sein d’un cabinet d’avocats, le couple se met à la recherche d’une nounou. Après un casting sévère, ils engagent Louise et sont conquis par son aisance avec Mila et Adam, et par le soin bientôt indispensable qu’elle apporte à leur foyer, laissant progressivement s’installer le piège de la dépendance mutuelle. Prix Goncourt 2016 Grand Prix des Lectrices de ""ELLE"" 2017 Grand Prix des Lycéennes de ""ELLE"" 2017 Prix des Lecteurs Gallimard 2016"
1,Petit pays ,Gaël Faye, 
2,Sur les chemins noirs ,Sylvain Tesson,"'Il m'aura fallu courir le monde et tomber d'un toit pour saisir que je disposais là, sous mes yeux, dans un pays si proche dont j'ignorais les replis, d'un réseau de chemins campagnards ouverts sur le mystère, baignés de pur silence, miraculeusement vides. La vie me laissait une chance, il était donc grand temps de traverser la France à pied sur mes chemins noirs. Là, personne ne vous indique ni comment vous tenir, ni quoi penser, ni même la direction à prendre.' Sylvain Tesson."
3,Arrête avec tes mensonges ,Philippe Besson, 
4,Article 353 du code pénal ,Tanguy Viel,Grand Prix RTL Lire 2017
5,L'espionne ,Paulo Coelho,"Arrivée à Paris sans un sou en poche, Mata Hari s’impose rapidement comme une danseuse vedette du début du XXe siècle. Insaisissable et indépendante, elle séduit le public, ensorcelle les hommes les plus riches et les plus puissants de l’époque. Mais son mode de vie flamboyant fait scandale et attire bientôt les soupçons tandis que la paranoïa s’empare du pays en guerre. Arrêtée en 1917 dans sa chambre d’hôtel sur les Champs-Élysées, elle est accusée d’espionnage. En faisant entendre la voix de Mata Hari, Paulo Coelho nous conte l’histoire inoubliable d’une femme qui paya de sa vie son goût pour la liberté."
6,Ils m'ont menti ,Daniel Pennac, 
7,Intimidation ,Harlan Coben,"Intimidation, un page-turner haletant, par le boss du thriller. New York, aujourd'hui. Avocat d'une quarantaine d'années, Adam Price mène une vie aisée et agréable avec son épouse Corinne et leurs deux garçons dans leur pavillon de banlieue cossue. Du moins c'était avant qu'un mystérieux individu lui fasse de troublantes révélations : son épouse adorée lui aurait menti quelques années plus tôt. Depuis, et pour la première fois de sa vie, Adam doute. Confrontée à son passé, Corrine ne se cherche pas d'excuse. Tout ce qu'elle demande, c'est du temps. Pour mieux se volatiliser... Seul avec ses deux fils, craignant pour la vie de Corrine et pour celle de ses enfants, Adam va se lancer dans une course-poursuite de tous les dangers. Quitte à découvrir une face jusqu'ici cachée de celle qu'il croyait pourtant connaître... Mensonges, trahisons, intimidations, un nouveau piège mortel machiavéliquement mis en place par le Maître de nos nuits blanches."
8,Le dimanche des mères ,Graham Swift,"Angleterre, 30 mars 1924. C’est le dimanche des mères, jour où les aristocrates donnent congé à leurs domestiques pour qu’ils rendent visite à leur famille. Jane, une jeune femme de chambre orpheline, le passera en compagnie de Paul, son amant de longue date. traversant la campagne inondée de soleil, elle le rejoint pour un dernier rendez-vous car Paul s’apprête à épouser une riche héritière. Mais les choses ne se déroulent pas comme prévu. Ce dimanche changera à jamais le destin de Jane. Graham Swift dépeint avec subtilité une aristocratie déclinante, porteuse des stigmates de la guerre, et l’émergence d’une classe nouvelle en quête de liberté. Un roman d’une intensité rare, troublant de grâce, de mystère et de sensualité."
9,L'autre qu'on adorait ,Catherine Cusset,"""J’ai eu le temps de me rendre compte qu’il n’y avait aucun ami que j’aimais davantage, personne qui me fasse sentir plus vivante, et que cela était dû à quelque chose d’exceptionnel en toi qui t’illuminait. Le rire."" L’autre qu’on adorait fait revivre Thomas, un homme d’une vitalité exubérante, qui fut l’amant puis le proche ami de la narratrice. Brillant, charmeur, ce passionné de Proust et de cinéma vit ses amours, ses rêves et ses déceptions toujours plus intensément que les autres. Quelle malédiction a pu le conduire, d’abord en France puis dans l’impitoyable cercle universitaire américain, à enchaîner les maladresses et les échecs jusqu’à anéantir tout espoir d’avenir ?"
10,Danser au bord de l'abîme ,Grégoire Delacourt,"Emma, quarante ans, mariée, trois enfants, heureuse, croise le regard d’un homme dans une brasserie. Aussitôt, elle sait. Après On ne voyait que le bonheur, Grégoire Delacourt explore dans ce roman virtuose la puissance du désir et la fragilité de nos existences."
11,Frappe-toi le coeur ,Amélie Nothomb,"« Frappe-toi le coeur, c'est là qu'est le génie. » Alfred de Musset"
12,Soumission ,Michel Houellebecq,"Dans une France assez proche de la nôtre, un homme s’engage dans la carrière universitaire. Peu motivé par l’enseignement, il s’attend à une vie ennuyeuse mais calme, protégée des grands drames historiques. Cependant les forces en jeu dans le pays ont fissuré le système politique jusqu’à provoquer son effondrement. Cette implosion sans soubresauts, sans vraie révolution, se développe comme un mauvais rêve. Le talent de l’auteur, sa force visionnaire nous entraînent sur un terrain ambigu et glissant ; son regard sur notre civilisation vieillissante fait coexister dans ce roman les intuitions poétiques, les effets comiques, une mélancolie fataliste. Ce livre est une saisissante fable politique et morale."
13,Babylone ,Yasmina Reza,"« Tout le monde riait. Les Manoscrivi riaient. C’est l’image d’eux qui est restée. Jean-Lino, en chemise parme, avec ses nouvelles lunettes jaunes semi-rondes, debout derrière le canapé, empourpré par le champagne ou par l’excitation d’être en société, toutes dents exposées. Lydie, assise en dessous, jupe déployée de part et d’autre, visage penché vers la gauche et riant aux éclats. Riant sans doute du dernier rire de sa vie. Un rire que je scrute à l’infini. Un rire sans malice, sans coquetterie, que j’entends encore résonner avec son fond bêta, un rire que rien ne menace, qui ne devine rien, ne sait rien. Nous ne sommes pas prévenus de l’irrémédiable. » Prix Renaudot 2016"
