,Titre,sstitre,Auteur,Editeur,Date,prets,Nombre de prêts par exemplaire,exemplaires,localisations,Langue,cat,tauxemprunt
94917,La montagne des boeufs sauvages , ,Pierre Pelot,Hoëbeke,2010,10.0,3.3333333333333335,3.0,3.0,français,LFRA Litterature francaise,14.0
182889,Fous de foot , ,Fanny Joly,Casterman,2007,3.0,3.0,1.0,1.0,français,LFRA Litterature francaise,12.0
49752,Un amour aussi grand que le désert de Gobi vu à travers une loupe , ,Tilman Rammstedt,Piranha,2015,25.0,2.5,10.0,10.0,français,LGER Litterature germanique,10.0
262249,Une amie d'enfer , ,Jacqueline Wilson,Hachette jeunesse,1999,1.0,0.5,2.0,2.0,français,LBRI Litterature britannique,2.0
352857,La famille Kocourek déménage , ,Iva Procházková,Hachette jeunesse,1993,0.0,0.0,1.0,1.0,français,LECE Litterature d'Europe centrale,0.0
276947,Chats de gouttière , ,Rolo Díez,Gallimard,1998,1.0,1.0,1.0,1.0,français,LESP Litterature espagnole,4.0
134610,Même pas juif ! , ,Jerry Spinelli,Hachette jeunesse,2005,6.0,0.375,16.0,16.0,français,LNAM Litterature nord-americaine,2.0
310445,Tous ces mondes en elle , ,Neil Bissoondath,Phébus,1999,1.0,0.3333333333333333,3.0,3.0,français,LNAM Litterature nord-americaine,1.0
190127,0Fables complètes , ,Jean-Pierre Claris de Florian,N. Gauvin,1991,3.0,0.75,4.0,4.0,français,LFRA Litterature francaise,3.0
104827,Le fils prodigue , ,Danielle Steel,Feryane,2017,9.0,3.0,3.0,3.0,français,LNAM Litterature nord-americaine,12.0
358403,Le blues d'Alexandrie ,Le blues d'Alexandrie,Asa Lanova,B. Campiche,1998,0.0,0.0,1.0,1.0,français,LFRA Litterature francaise,0.0
170587,Vie et mort de Guy Debord , ,Christophe Bourseiller,Plon,1999,4.0,0.8,5.0,5.0,français,LFRA Litterature francaise,3.0
261153,The Theban mysteries , ,Amanda Cross,The Ballantine Publishing Group,1999,1.0,1.0,1.0,1.0,anglais,LNAM Litterature nord-americaine,4.0
215092,De l'anarchie comme battements d'ailes ,De l'anarchie comme battements d'ailes.,Armand Gatti,Éd. Syllepse,2001,2.0,1.0,2.0,2.0,français,Littérature française (autres),4.0
211062,Ringolevio , ,Emmett Grogan,Gallimard,1998,2.0,2.0,1.0,1.0,français,LNAM Litterature nord-americaine,8.0
151718,L'autre comme moi , ,José Saramago,Points,2006,5.0,1.6666666666666667,3.0,3.0,français,LPOR Litterature portugaise,7.0
132865,The babes in the wood , ,Ruth Rendell,Arrow books,2003,6.0,6.0,1.0,1.0,anglais,LBRI Litterature britannique,25.0
